MapRef,LINZ,NZTM_Easting,NZTM_Northing,TA1995_V_1,TA2020_V_1,REGC2020_1,Longitude,Latitude
N007857978,N7 857 978,1632623.1780711603,6140462.1016565915,Far North District,Far North District,Northland Region,173.3569766325552,-34.877692678707625
S183835975,S183 835 975,1286944.9671698222,4846960.275122903,Southland District,Southland District,Southland Region,168.92309420541994,-46.45820784903453
